 * Tip: There are .env files present. Install python-dotenv to use them.
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.0.140:5000
Press CTRL+C to quit
 * Restarting with stat
 * Tip: There are .env files present. Install python-dotenv to use them.
 * Debugger is active!
 * Debugger PIN: 242-374-426
127.0.0.1 - - [11/Aug/2026 23:05:34] "GET /static/illustrations/sd/object_round_table_2.webp?t=1786457134533 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:35] "GET /static/illustrations/sd/object_long_table.webp?t=1786457134533 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:35] "GET /static/illustrations/sd/object_chair.webp?t=1786457134533 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:06:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:06:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:07:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:07:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:08:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:08:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:08:48] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:08:48] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:08:48] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:08:48] "GET /static/portraits/npc/d-8912/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:08:48] "GET /static/portraits/npc/d-8911/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:08:48] "GET /static/portraits/npc/d-8910/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:08:48] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:08:48] "GET /static/portraits/npc/d-8913/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:09:02] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:09:02] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:09:02] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:09:02] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:09:02] "GET /static/portraits/npc/d-8910/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:09:02] "GET /static/portraits/npc/d-8913/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:09:21] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:09:21] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:09:21] "GET /static/portraits/npc/d-8911/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:09:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:09:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:10:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:10:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:11:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:11:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:12:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:12:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:13:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:13:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:14:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:14:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:15:26] "GET /static/portraits/npc/chie/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:15:26] "GET /static/portraits/npc/d-8910/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:15:26] "GET /static/portraits/npc/d-8911/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:15:26] "GET /static/portraits/npc/d-8913/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:15:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:15:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:16:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:16:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:17:17] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:17:17] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:17:17] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:17:17] "GET /static/portraits/npc/d-8910/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:17:17] "GET /static/portraits/npc/d-8911/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:17:17] "GET /static/portraits/npc/d-8913/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:17:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:17:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:17:40] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:17:43] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:17:43] "GET /static/portraits/npc/scf-8832/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:18:28] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:18:32] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:18:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:18:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:18:35] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:19:28] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:19:28] "GET /static/portraits/npc/scf-8832/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:19:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:19:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:20:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:20:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:21:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:21:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:22:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:22:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:23:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:23:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:24:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:24:34] "GET /api/illustration HTTP/1.1" 200 -
